Acompanhamento do fluxo de caixa
Data;Entradas;Saídas;Saldo diário;Saldo acumulado
3.07 - Financeiras;12229,33;2707,18;0;0;2412,46;964,58;4566,99;578,12;1000;-;-;-;-
3.07.01 - Juros;8522,15;0;0;0;2412,46;964,58;4566,99;578,12;0;-;-;-;-
3.07.01.01 - Empréstimo custeio;3377,04;0;0;0;2412,46;964,58;0;0;0;-;-;-;-
3.07.01.02 - Financiamento imobilizados;5145,11;0;0;0;0;0;4566,99;578,12;0;-;-;-;-
3.07.02 - Tarifas bancárias;2707,18;2707,18;0;0;0;0;0;0;0;-;-;-;-
3.07.02.01 - Movimentação bancária;2707,18;2707,18;0;0;0;0;0;0;0;-;-;-;-
3.07.03 - Multas / penalidades;1000;0;0;0;0;0;0;0;1000;-;-;-;-
3.07.03.02 - Multas contratuais;1000;0;0;0;0;0;0;0;1000;-;-;-;-
3.08 - Impostos, taxas e contribuições;5254,64;1396,5;66,05;0;8,43;3271,23;486,25;26,18;0;-;-;-;-
3.08.01 - Contrib. Inss s/venda de leite;26,18;0;0;0;0;0;0;26,18;0;-;-;-;-
3.08.02 - ICMS;1396,5;1396,5;0;0;0;0;0;0;0;-;-;-;-
3.08.04 - Impostos diversos;3831,96;0;66,05;0;8,43;3271,23;486,25;0;0;-;-;-;-
3.09 - Diversos;24565,39;0;15409,39;2000;3375;3398;307;0;76;-;-;-;-
3.09.04 - Diversos;24565,39;0;15409,39;2000;3375;3398;307;0;76;-;-;-;-
3.10 - Imobilizações;872446,35;128000;3104,1;2274;1434,48;326738;74415,48;294066,85;42413,44;-;-;-;-
3.10.02 - Máquinas e equipamentos;96490,66;0;0;0;0;28400;47655,48;20435,18;0;-;-;-;-
3.10.05 - Benfeitorias;249955,69;0;3104,1;2274;1434,48;100338;26760;73631,67;42413,44;-;-;-;-
3.10.06 - Animais - Reposição;526000;128000;0;0;0;198000;0;200000;0;-;-;-;-
3.10.06.01 - Novilhas;526000;128000;0;0;0;198000;0;200000;0;-;-;-;-
3.98 - Transf. débito;26000;0;11000;0;0;0;0;15000;0;-;-;-;-
Total;-395025,46;86232,05;82065,77;372663,28;113851,97;-411113,19;-191894,55;-388360,44;-58470,35;-;-;-;-
Saldo acumulado;;86232,05;168297,82;540961,1;654813,07;243699,88;51805,33;-336555,11;-395025,46;-;-;-;-
